bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1297892,1733,H7010,3,Enrolled,2020-02-05,"General Regulatory Provisions","Makes a minor technical correction to what is included in a service contract for the repair and replacement of tires.",1140,"Senate Judiciary",2020-03-12,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7010/2020,http://status.rilin.state.ri.us/
1298258,1733,H7011,4,Passed,2020-03-17,"Relating To Solemnization Of Marriages","Allows Joseph R. Paolino, Jr., to join Kara Elizabeth Paolino Marchionte and Adam Hayden in marriage on or about April 4, 2020, within the City of Providence, Rhode Island.",0,,2020-03-17,"Signed by Governor",https://legiscan.com/RI/bill/H7011/2020,http://status.rilin.state.ri.us/
1299548,1733,H7013,4,Passed,2020-02-05,"Relating To Food And Drugs","Establishes certain limitations on regulations promulgated by the department of health and the department of business regulation in regard to medical marijuana.",0,,2020-02-05,"Signed by Governor",https://legiscan.com/RI/bill/H7013/2020,http://status.rilin.state.ri.us/
1300412,1733,H7022,4,Passed,2020-06-26,"General Powers -- Prudence Island School Foundation","Enables the town council of Portsmouth to transfer and/or convey parcels of land owned by the town on Prudence Island to the Prudence Island School Foundation to be used for educational purposes.",0,,2020-06-26,"Effective without Governor's signature",https://legiscan.com/RI/bill/H7022/2020,http://status.rilin.state.ri.us/
1300272,1733,H7023,1,Introduced,2020-01-09,"Merit System","Allows a classified employee, whose position is not fully funded through federal loans and/or grants to seek the nomination of or to be a candidate for elective state office.",1121,"House Judiciary",2020-02-05,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7023/2020,http://status.rilin.state.ri.us/
1300403,1733,H7024,1,Introduced,2020-01-09,"Bail And Recognizance","Permits defendants to file motions to dismiss in district court based on lack of probable cause.",1121,"House Judiciary",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7024/2020,http://status.rilin.state.ri.us/
1300336,1733,H7025,1,Introduced,2020-01-09,"Relating To Motor And Other Vehicles","Makes the owner of any vehicle not inspected as required by §§ 31-38-3 or 31-38-4 responsible for any fines or penalties imposed as a result of non-inspection and prohibits any law enforcement officer from citing the operator of said vehicle.",1121,"House Judiciary",2020-02-04,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7025/2020,http://status.rilin.state.ri.us/
1300390,1733,H7026,1,Introduced,2020-01-09,"911 Emergency Telephone Number Act","Makes knowingly filing a false alarm or reporting false information using the 911 emergency telephone number a felony.",1121,"House Judiciary",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7026/2020,http://status.rilin.state.ri.us/
1300409,1733,H7027,1,Introduced,2020-01-09,"Accidents And Accident Reports","Increases the penalties and fines for the various motor vehicle offenses involving leaving the scene of an accident.",1121,"House Judiciary",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7027/2020,http://status.rilin.state.ri.us/
1300214,1733,H7028,1,Introduced,2020-01-09,"Motor Vehicles Reparation Act","Eliminates the knowledge element for operating an unregistered vehicle or an uninsured vehicle regarding penalties.",1121,"House Judiciary",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7028/2020,http://status.rilin.state.ri.us/
1300382,1733,H7029,1,Introduced,2020-01-09,"Relating To Criminal Procedure","Establishes Rhode Island First Step requiring corrections to assist offenders with reintegration into society, counseling, medical care, education, early termination to pre-release confinement for elderly and terminally ill offenders.",1121,"House Judiciary",2020-02-05,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7029/2020,http://status.rilin.state.ri.us/
1300347,1733,H7030,1,Introduced,2020-01-09,"Domestic Abuse Prevention","Permits the family court to award custody of household pets to the plaintiff in a domestic abuse complaint.",1121,"House Judiciary",2020-02-04,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7030/2020,http://status.rilin.state.ri.us/
1300417,1733,H7033,1,Introduced,2020-01-09,"Motor Vehicle Offenses","Increases the penalties for driving so as to endanger, death resulting, by increasing the maximum term of imprisonment from ten (10) years to twenty (20) years, and the maximum term of license suspension from five (5) years to ten (10) years.",1121,"House Judiciary",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7033/2020,http://status.rilin.state.ri.us/
1300340,1733,H7034,1,Introduced,2020-01-09,"Maintenance Of Order On Campus -- See Title 16 Chapter 97 -- The Rhode Island Board Of Education Act","Mandates arming campus police at public higher educational institutions and includes campus police in the definition of ""law enforcement officer"" for the purposes of the ""Law Enforcement Officers' Bill of Rights.""",1121,"House Judiciary",2020-03-11,"Meeting postponed (03/11/2020)",https://legiscan.com/RI/bill/H7034/2020,http://status.rilin.state.ri.us/
1300276,1733,H7035,1,Introduced,2020-01-09,"Theft, Embezzlement, False Pretenses, And Misappropriation","Provides that any person convicted of larceny of a package delivered by any government or private delivery service, shall, if committing larceny while operating a motor vehicle, that motor vehicle shall be subject to forfeiture.",1121,"House Judiciary",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7035/2020,http://status.rilin.state.ri.us/
1300305,1733,H7036,1,Introduced,2020-01-09,"Preliminary Proceedings In District Courts","Limits the period of a filing of a criminal complaint to the maximum term of the penalty prescribed by the offense.",1121,"House Judiciary",2020-01-29,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7036/2020,http://status.rilin.state.ri.us/
1300377,1733,H7037,1,Introduced,2020-01-09,"General Regulatory Provisions","Prohibits the practice of patient brokering and would provide penalties and enforcement.",1120,"House Corporations",2020-01-28,"Committee recommended measure be held for further study",https://legiscan.com/RI/bill/H7037/2020,http://status.rilin.state.ri.us/
