bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1297892,2086455,text,16667,application/pdf,Introduced,https://legiscan.com/RI/text/H7010/id/2086455,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7010.pdf
1298258,2086805,text,9015,application/pdf,Introduced,https://legiscan.com/RI/text/H7011/id/2086805,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7011.pdf
1299548,2088066,text,55957,application/pdf,Introduced,https://legiscan.com/RI/text/H7013/id/2088066,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7013.pdf
1299548,2113636,text,49099,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H7013/id/2113636,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7013A.pdf
1300412,2088991,text,11866,application/pdf,Introduced,https://legiscan.com/RI/text/H7022/id/2088991,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7022.pdf
1300272,2088871,text,10865,application/pdf,Introduced,https://legiscan.com/RI/text/H7023/id/2088871,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7023.pdf
1300403,2088984,text,10054,application/pdf,Introduced,https://legiscan.com/RI/text/H7024/id/2088984,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7024.pdf
1300336,2088924,text,18671,application/pdf,Introduced,https://legiscan.com/RI/text/H7025/id/2088924,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7025.pdf
1300390,2088972,text,15056,application/pdf,Introduced,https://legiscan.com/RI/text/H7026/id/2088972,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7026.pdf
1300409,2088988,text,21595,application/pdf,Introduced,https://legiscan.com/RI/text/H7027/id/2088988,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7027.pdf
1300214,2088824,text,19541,application/pdf,Introduced,https://legiscan.com/RI/text/H7028/id/2088824,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7028.pdf
1300382,2088966,text,42604,application/pdf,Introduced,https://legiscan.com/RI/text/H7029/id/2088966,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7029.pdf
1300347,2088934,text,37652,application/pdf,Introduced,https://legiscan.com/RI/text/H7030/id/2088934,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7030.pdf
1300417,2088995,text,10315,application/pdf,Introduced,https://legiscan.com/RI/text/H7033/id/2088995,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7033.pdf
1300340,2088927,text,19085,application/pdf,Introduced,https://legiscan.com/RI/text/H7034/id/2088927,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7034.pdf
1300276,2088874,text,16037,application/pdf,Introduced,https://legiscan.com/RI/text/H7035/id/2088874,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7035.pdf
1300305,2088896,text,17320,application/pdf,Introduced,https://legiscan.com/RI/text/H7036/id/2088896,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7036.pdf
1300377,2088961,text,26515,application/pdf,Introduced,https://legiscan.com/RI/text/H7037/id/2088961,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7037.pdf
1300309,2088900,text,10685,application/pdf,Introduced,https://legiscan.com/RI/text/H7038/id/2088900,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7038.pdf
1300243,2088846,text,128727,application/pdf,Introduced,https://legiscan.com/RI/text/H7039/id/2088846,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7039.pdf
1300354,2088940,text,139183,application/pdf,Introduced,https://legiscan.com/RI/text/H7040/id/2088940,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7040.pdf
1300260,2088860,text,42469,application/pdf,Introduced,https://legiscan.com/RI/text/H7041/id/2088860,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7041.pdf
1300208,2088820,text,67780,application/pdf,Introduced,https://legiscan.com/RI/text/H7042/id/2088820,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7042.pdf
1300237,2088842,text,13826,application/pdf,Introduced,https://legiscan.com/RI/text/H7043/id/2088842,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7043.pdf
1300231,2088837,text,125937,application/pdf,Introduced,https://legiscan.com/RI/text/H7044/id/2088837,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7044.pdf
1300396,2088977,text,20935,application/pdf,Introduced,https://legiscan.com/RI/text/H7045/id/2088977,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7045.pdf
1300358,2088944,text,18773,application/pdf,Introduced,https://legiscan.com/RI/text/H7046/id/2088944,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7046.pdf
1300371,2088957,text,22048,application/pdf,Introduced,https://legiscan.com/RI/text/H7047/id/2088957,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7047.pdf
1300250,2088852,text,15254,application/pdf,Introduced,https://legiscan.com/RI/text/H7048/id/2088852,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7048.pdf
1300324,2088913,text,13740,application/pdf,Introduced,https://legiscan.com/RI/text/H7049/id/2088913,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7049.pdf
1300318,2088908,text,13020,application/pdf,Introduced,https://legiscan.com/RI/text/H7050/id/2088908,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7050.pdf
1300294,2088886,text,17053,application/pdf,Introduced,https://legiscan.com/RI/text/H7051/id/2088886,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7051.pdf
1300294,2194477,text,16778,application/pdf,Amended,https://legiscan.com/RI/text/H7051/id/2194477,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7051aa.pdf
1300266,2088866,text,12587,application/pdf,Introduced,https://legiscan.com/RI/text/H7052/id/2088866,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7052.pdf
1300225,2088832,text,58681,application/pdf,Introduced,https://legiscan.com/RI/text/H7053/id/2088832,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7053.pdf
1300289,2088883,text,14343,application/pdf,Introduced,https://legiscan.com/RI/text/H7054/id/2088883,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7054.pdf
1300299,2088891,text,14605,application/pdf,Introduced,https://legiscan.com/RI/text/H7055/id/2088891,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7055.pdf
1300331,2088919,text,20925,application/pdf,Introduced,https://legiscan.com/RI/text/H7056/id/2088919,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7056.pdf
1300255,2088856,text,11972,application/pdf,Introduced,https://legiscan.com/RI/text/H7057/id/2088856,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7057.pdf
1300282,2088878,text,9170,application/pdf,Introduced,https://legiscan.com/RI/text/H7058/id/2088878,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7058.pdf
1301437,2090170,text,29041,application/pdf,Introduced,https://legiscan.com/RI/text/H7069/id/2090170,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7069.pdf
1301437,2124690,text,29592,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H7069/id/2124690,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7069A.pdf
1301437,2200510,text,29600,application/pdf,"Comm Sub",https://legiscan.com/RI/text/H7069/id/2200510,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7069B.pdf
1301271,2090006,text,10837,application/pdf,Introduced,https://legiscan.com/RI/text/H7070/id/2090006,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7070.pdf
1301053,2089795,text,26210,application/pdf,Introduced,https://legiscan.com/RI/text/H7071/id/2089795,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7071.pdf
1301197,2089933,text,14850,application/pdf,Introduced,https://legiscan.com/RI/text/H7072/id/2089933,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7072.pdf
1301212,2089948,text,14380,application/pdf,Introduced,https://legiscan.com/RI/text/H7073/id/2089948,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7073.pdf
1301066,2089808,text,9013,application/pdf,Introduced,https://legiscan.com/RI/text/H7074/id/2089808,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7074.pdf
1301139,2089875,text,15596,application/pdf,Introduced,https://legiscan.com/RI/text/H7075/id/2089875,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7075.pdf
1301421,2090154,text,9185,application/pdf,Introduced,https://legiscan.com/RI/text/H7076/id/2090154,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7076.pdf
1301224,2089960,text,10254,application/pdf,Introduced,https://legiscan.com/RI/text/H7077/id/2089960,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7077.pdf
1301182,2089918,text,10008,application/pdf,Introduced,https://legiscan.com/RI/text/H7078/id/2089918,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7078.pdf
1301336,2090070,text,14408,application/pdf,Introduced,https://legiscan.com/RI/text/H7079/id/2090070,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7079.pdf
1301095,2089834,text,35360,application/pdf,Introduced,https://legiscan.com/RI/text/H7080/id/2089834,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7080.pdf
1301112,2089850,text,58662,application/pdf,Introduced,https://legiscan.com/RI/text/H7081/id/2089850,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7081.pdf
1301154,2089890,text,7728,application/pdf,Introduced,https://legiscan.com/RI/text/H7082/id/2089890,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7082.pdf
1301284,2090018,text,27376,application/pdf,Introduced,https://legiscan.com/RI/text/H7083/id/2090018,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7083.pdf
1301039,2089782,text,28850,application/pdf,Introduced,https://legiscan.com/RI/text/H7084/id/2089782,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7084.pdf
1301379,2090112,text,28815,application/pdf,Introduced,https://legiscan.com/RI/text/H7085/id/2090112,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7085.pdf
1301168,2089904,text,24626,application/pdf,Introduced,https://legiscan.com/RI/text/H7086/id/2089904,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7086.pdf
1301408,2090141,text,23629,application/pdf,Introduced,https://legiscan.com/RI/text/H7087/id/2090141,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7087.pdf
