bill_id,date,chamber,sequence,action
1296616,2020-01-07,House,1,"House read and passed"
1296650,2020-01-07,House,1,"House read and passed"
1296683,2020-01-07,Senate,1,"Recommended for Immediate Consideration"
1296683,2020-01-07,Senate,2,"Senate read and passed"
1296715,2020-01-07,House,1,"House read and passed"
1296749,2020-01-07,House,1,"House read and passed"
1296786,2020-01-07,House,1,"House read and passed"
1296821,2020-01-07,House,1,"House read and passed"
1296855,2020-01-07,House,1,"House read and passed"
1296889,2020-01-07,House,1,"House read and passed"
1296923,2020-01-07,House,1,"House read and passed"
1296955,2020-01-07,Senate,1,"Recommended for Immediate Consideration"
1296955,2020-01-07,Senate,2,"Senate read and passed"
1297892,2020-01-08,House,1,"Introduced, referred to House Corporations"
1297892,2020-01-24,House,2,"Scheduled for hearing and/or consideration (01/28/2020)"
1297892,2020-01-28,House,3,"Committee recommends passage"
1297892,2020-01-31,House,4,"Placed on House Calendar (02/04/2020)"
1297892,2020-02-04,House,5,"House read and passed"
1297892,2020-02-04,Senate,6,"Placed on the Senate Consent Calendar (02/05/2020)"
1297892,2020-02-05,Senate,7,"Senate passed in concurrence"
1297892,2020-02-06,House,8,"Senate voted to reconsider"
1297892,2020-02-06,House,9,"Senate voted to recommit to Senate Judiciary"
1297892,2020-03-06,House,10,"Scheduled for hearing and/or consideration (03/12/2020)"
1297892,2020-03-12,House,11,"Committee recommended measure be held for further study"
1298258,2020-01-08,House,1,"Introduced, referred to House Special Legislation"
1298258,2020-01-24,House,2,"Scheduled for consideration (01/30/2020)"
1298258,2020-01-30,House,3,"Committee recommends passage"
1298258,2020-02-04,House,4,"Placed on the House Consent Calendar (02/06/2020)"
1298258,2020-02-06,House,5,"House read and passed"
1298258,2020-02-25,Senate,6,"Referred to Senate Judiciary"
1298258,2020-02-28,Senate,7,"Scheduled for hearing and/or consideration (03/03/2020)"
1298258,2020-03-03,Senate,8,"Committee recommends passage in concurrence"
1298258,2020-03-05,Senate,9,"Placed on Senate Calendar (03/11/2020)"
1298258,2020-03-11,Senate,10,"Senate passed in concurrence"
1298258,2020-03-11,House,11,"Transmitted to Governor"
1298258,2020-03-17,House,12,"Signed by Governor"
1299403,2020-01-08,House,1,"House read and passed"
1299419,2020-01-08,Senate,1,"Introduced, referred to Senate Judiciary"
1299419,2020-01-17,Senate,2,"Scheduled for hearing and/or consideration (01/21/2020)"
1299419,2020-01-21,Senate,3,"Committee recommended measure be held for further study"
1299419,2020-01-24,Senate,4,"Scheduled for consideration (01/28/2020)"
