people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
5102,"John Edwards",John,G.,Edwards,,,1,D,1,Rep,HD-070,6465728,47649,,"John_Edwards,_Rhode_Island_Representative",271320,0
5107,"Gregory Costantino",Gregory,J.,Costantino,,,1,D,1,Rep,HD-044,9549520,125840,,Gregory_Costantino,299745,0
5110,"Joseph Almeida",Joseph,S.,Almeida,Jr.,,1,D,1,Rep,HD-012,6403361,24180,,Joseph_Almeida,198609,0
5116,"Arthur Corvese",Arthur,J.,Corvese,,,1,D,1,Rep,HD-055,387024,24160,,Arthur_Corvese,198661,0
5125,"Patricia Serpa",Patricia,A.,Serpa,,,1,D,1,Rep,HD-027,6480805,67214,,Patricia_Serpa,249628,0
5131,"Joseph McNamara",Joseph,M.,McNamara,,,1,D,1,Rep,HD-019,6403907,7391,,Joseph_McNamara,198618,0
5134,"Deborah Fellela",Deborah,A.,Fellela,,,1,D,1,Rep,HD-043,6480739,67581,,Deborah_Fellela,249634,0
5136,"Mary Messier",Mary,Duffy,Messier,,,1,D,1,Rep,HD-062,6509412,125882,,Mary_Messier,283512,0
5137,"Charlene Lima",Charlene,M.,Lima,,,1,D,1,Rep,HD-014,9594074,7380,,Charlene_Lima,198602,0
5139,"Deborah Ruggiero",Deborah,L.,Ruggiero,,,1,D,1,Rep,HD-074,6497090,109497,,Deborah_Ruggiero,271322,0
5143,"Samuel Azzinaro",Samuel,A.,Azzinaro,,,1,D,1,Rep,HD-037,6496873,109459,,Samuel_Azzinaro,271290,0
5144,"Nicholas Mattiello",Nicholas,Anthony,Mattiello,,,1,D,1,Rep,HD-015,6480769,68479,,Nicholas_Mattiello,249624,0
5145,"Edith Ajello",Edith,H.,Ajello,,,1,D,1,Rep,HD-001,6403352,7330,,Edith_Ajello,198592,0
5148,"Arthur Handy",Arthur,,Handy,,,1,D,1,Rep,HD-018,6403691,47711,,Arthur_Handy,212809,0
5155,"Stephen Ucci",Stephen,R.,Ucci,,,1,D,1,Rep,HD-042,13006224,47740,,Stephen_Ucci,228005,0
5159,"Brian Newberry",Brian,C.,Newberry,,,2,R,1,Rep,HD-048,13006239,47663,,Brian_Newberry,271302,0
5160,"Brian Kennedy",Brian,Patrick,Kennedy,,,1,D,1,Rep,HD-038,6403763,7373,,Brian_Kennedy_(Rhode_Island),198605,0
5165,"Robert Jacquard",Robert,B.,Jacquard,,,1,D,1,Rep,HD-017,6403749,7370,,Robert_Jacquard,198615,0
