bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1297892,914696,2020-02-04,House,Passage,69,1,4,0,74
1298258,916858,2020-02-06,House,Passage,67,0,7,0,74
1298258,949986,2020-03-11,Senate,Passage,37,0,1,0,38
1299419,914397,2020-02-04,Senate,"Passage ***************************",36,0,2,0,38
1299419,914398,2020-02-04,House,Passage,70,0,4,0,74
1299512,910540,2020-01-29,Senate,"Passage as amended",34,3,1,0,38
1299512,910541,2020-01-29,Senate,"Approval of amendment",8,29,1,0,38
1299512,910542,2020-01-29,Senate,"Passage ***************************",35,0,3,0,38
1299512,951247,2020-03-12,House,Passage,62,7,6,0,75
1299512,967016,2020-06-17,Senate,"Passage in concurrence",34,4,0,0,38
1299548,914509,2020-02-04,House,Passage,70,0,4,0,74
1299566,920779,2020-02-11,Senate,"Passage as amended",31,0,7,0,38
1299566,920780,2020-02-11,Senate,"Departments of state government approval of amendment",30,0,8,0,38
1299604,935920,2020-02-26,Senate,Passage,37,0,1,0,38
1300282,916945,2020-02-06,House,Passage,67,0,7,0,74
1300294,967040,2020-06-17,House,"Passage as amended",72,0,3,0,75
1300294,967041,2020-06-17,House,"Passage of amendment",72,0,3,0,75
1300294,967626,2020-06-18,Senate,"- general powers in concurrence",36,1,1,0,38
1300412,967083,2020-06-17,House,Passage,70,0,5,0,75
1301066,917078,2020-02-06,House,Passage,67,0,7,0,74
1301154,934293,2020-02-25,House,Passage,71,0,3,0,74
1301168,920252,2020-02-11,House,Passage,69,0,5,0,74
1301212,943146,2020-03-04,House,Passage,65,0,9,0,74
1301421,916867,2020-02-06,House,Passage,65,0,7,2,74
1301437,920439,2020-02-11,House,Passage,68,0,6,0,74
1307543,934653,2020-02-25,House,"Passage in concurrence",71,0,3,0,74
1307999,923204,2020-02-13,House,"Passage as amended",60,6,8,0,74
1307999,923205,2020-02-13,House,"Passage as amended passage of amendment",9,56,9,0,74
1307999,923206,2020-02-13,House,"Passage of amendment",58,5,11,0,74
1307999,923207,2020-02-13,House,"Passage of amendment ruling of the chair",55,12,7,0,74
1308990,916953,2020-02-06,House,"Passage as amended",58,7,9,0,74
1308990,916954,2020-02-06,House,"Passage of amendment",64,0,10,0,74
1308990,948578,2020-03-10,Senate,"Passage as amended",32,5,0,1,38
1308990,948579,2020-03-10,Senate,"The julie lynn cardinal act approval of amendment",37,0,0,1,38
1308990,970956,2020-07-13,Senate,"Offenses - weapons approval of amendment lc 003663/5",35,0,3,0,38
1308990,970957,2020-07-13,Senate,"Passage as amended",33,3,2,0,38
1309306,936338,2020-02-26,House,"Passage in concurrence",72,0,2,0,74
1309382,903188,2020-01-15,House,Passage,61,0,13,0,74
1309485,905917,2020-01-22,Senate,"Audilia vale and jose v. monteiro jr",34,0,4,0,38
1309485,912911,2020-01-29,Senate,"The charter of micron cmm services, llc",33,0,5,0,38
1309485,967915,2020-06-18,Senate,Passage,37,0,1,0,38
1311412,943008,2020-03-04,House,Passage,68,0,6,0,74
1311499,936575,2020-02-26,House,Passage,73,0,1,0,74
1311799,923248,2020-02-13,House,Passage,62,5,7,0,74
1311799,942956,2020-03-04,Senate,"Passage in concurrence",30,6,2,0,38
1311851,967029,2020-06-17,House,"Passage in concurrence",70,0,5,0,75
1311887,967532,2020-06-18,Senate,"Passage in concurrence",31,7,0,0,38
1311887,967533,2020-06-18,House,"Passage as amended",60,13,2,0,75
1311887,967534,2020-06-18,House,"Passage of amendment",64,8,3,0,75
1316827,916147,2020-02-05,Senate,"Retail licenses",36,0,2,0,38
1316827,966986,2020-06-17,House,Passage,70,0,5,0,75
1316874,920594,2020-02-11,Senate,"Passage as amended",31,0,7,0,38
1316874,920595,2020-02-11,Senate,"Noncompetition agreements approval of amendment",30,0,8,0,38
1316895,917091,2020-02-06,Senate,"Suppression of cont. diseases",34,0,4,0,38
1316966,944262,2020-03-05,Senate,Passage,32,0,6,0,38
1316966,966976,2020-06-17,House,Passage,70,0,5,0,75
1317029,944254,2020-03-05,House,Passage,66,0,8,0,74
1317063,967544,2020-06-18,House,"Passage in concurrence",72,0,3,0,75
1317083,917448,2020-02-06,Senate,"Professions-physical therapists",34,0,4,0,38
1317097,920812,2020-02-11,Senate,Passage,30,1,7,0,38
1317181,915670,2020-02-05,Senate,"Retail licenses",36,0,2,0,38
1317181,967117,2020-06-17,House,Passage,70,0,5,0,75
1317187,916998,2020-02-06,Senate,"Open meetings",32,0,4,2,38
1317229,950115,2020-03-11,House,Passage,67,0,7,0,74
1317235,966982,2020-06-17,House,Passage,70,0,5,0,75
1317240,966998,2020-06-17,House,Passage,70,0,5,0,75
1317309,966997,2020-06-17,House,Passage,70,0,5,0,75
1317309,967561,2020-06-18,Senate,"Passage in concurrence",37,1,0,0,38
1317323,971585,2020-07-16,House,Passage,58,11,6,0,75
1317332,941758,2020-03-03,House,Passage,63,0,11,0,74
1317503,921970,2020-02-12,House,Passage,68,0,6,0,74
1317508,967048,2020-06-17,House,"Passage in concurrence",70,0,5,0,75
1317768,904795,2020-01-22,House,Passage,66,0,8,0,74
1318163,944441,2020-03-05,House,Passage,66,0,8,0,74
1318213,920108,2020-02-11,Senate,Passage,31,0,7,0,38
1318213,920109,2020-02-11,Senate,"Fair housing practices approval of amendment",2,28,8,0,38
1318240,935014,2020-02-25,Senate,Passage,37,0,1,0,38
1318281,920217,2020-02-11,Senate,"General powers",30,1,7,0,38
1318281,967031,2020-06-17,House,"Passage as amended",72,0,3,0,75
1318281,967032,2020-06-17,House,"Passage in concurrence passage of amendment",72,0,3,0,75
1318281,967624,2020-06-18,Senate,"Passage in concurrence",37,1,0,0,38
1318301,934967,2020-02-25,Senate,Passage,37,0,1,0,38
1318310,967356,2020-06-18,House,"Passage in concurrence",72,0,3,0,75
1318388,920904,2020-02-11,Senate,"Passage as amended",31,0,7,0,38
1318388,920905,2020-02-11,Senate,"Rhode island parentage act approval of amendment",31,0,7,0,38
1318388,971562,2020-07-16,Senate,"Passage in concurrence",34,1,3,0,38
1318388,971563,2020-07-16,House,"Passage as amended",64,1,10,0,75
1318388,971564,2020-07-16,House,"Passage of amendment",67,0,8,0,75
1318407,920630,2020-02-11,Senate,Passage,30,0,8,0,38
1318465,935058,2020-02-25,Senate,Passage,37,0,1,0,38
1318582,921919,2020-02-12,House,Passage,67,0,7,0,74
1318582,949613,2020-03-11,Senate,"Passage as amended",37,0,1,0,38
1318582,949614,2020-03-11,Senate,"Solemnization of marriages approval of amendment",37,0,1,0,38
1318612,967037,2020-06-17,House,Passage,70,0,5,0,75
1318631,967024,2020-06-17,House,Passage,70,0,5,0,75
1318668,966996,2020-06-17,House,Passage,70,0,5,0,75
1318716,923244,2020-02-13,House,Passage,66,0,8,0,74
1318716,951103,2020-03-12,Senate,Passage,33,3,2,0,38
1318732,966991,2020-06-17,House,Passage,70,0,5,0,75
1318741,966994,2020-06-17,House,"Passage in concurrence",70,0,5,0,75
1318751,914832,2020-02-04,House,Passage,70,0,4,0,74
1318797,944135,2020-03-05,House,Passage,70,0,4,0,74
