bill_id,people_id,position
1296616,5144,2
1296616,5160,1
1296616,14592,5
1296616,16626,3
1296616,16629,4
1296650,5144,1
1296650,14592,2
1296650,14754,3
1296650,16540,4
1296650,20145,5
1296683,5184,1
1296683,5200,6
1296683,5205,2
1296683,5205,3
1296683,5208,4
1296683,19414,5
1296715,5137,1
1296715,5144,5
1296715,5145,3
1296715,5166,2
1296715,21327,4
1296749,5144,1
1296749,14592,2
1296749,14754,3
1296749,16540,4
1296749,20145,5
1296786,5116,3
1296786,5134,4
1296786,5137,5
1296786,5144,1
1296786,14592,2
1296821,5125,5
1296821,5131,4
1296821,5144,1
1296821,14592,2
1296821,14754,3
1296855,5137,4
1296855,5144,1
1296855,5167,5
1296855,11736,3
1296855,14592,2
1296889,5102,5
1296889,5116,3
1296889,5144,1
1296889,5155,4
1296889,14592,2
1296923,5144,1
1296923,14592,2
1296923,14754,3
1296923,16540,4
1296923,20145,5
1296955,5184,3
1296955,5204,2
1296955,5205,4
1296955,5205,5
1296955,5209,1
1296955,5213,6
1297892,5165,1
1298258,5144,1
1298258,14592,2
1299403,5125,4
1299403,5144,1
1299403,14592,2
1299403,17706,5
1299403,18433,3
1299419,5184,3
1299419,5204,2
1299419,5205,4
1299419,5205,5
1299419,5209,1
1299419,14593,6
1299438,5137,4
1299438,5144,2
1299438,5148,5
1299438,5165,3
1299438,20145,1
1299456,5166,4
1299456,11288,1
1299456,14493,2
1299456,14592,3
1299456,16626,5
1299476,5144,1
1299476,14754,3
1299476,16540,4
1299476,17706,2
1299476,18436,5
1299495,14592,5
1299495,16626,4
1299495,18435,1
1299495,20300,2
1299495,21327,3
1299512,5184,5
1299512,5204,6
1299512,5205,3
1299512,5205,4
1299512,5209,2
1299512,17306,1
1299527,5125,2
1299527,5144,5
1299527,14592,4
1299527,20144,3
1299527,20303,1
1299548,5102,3
1299548,5144,1
1299548,11736,5
1299548,14590,4
1299548,14592,2
1299566,5184,3
1299566,5204,2
1299566,5208,4
1299566,5209,1
1299566,14593,5
1299585,5144,1
1299585,5159,5
1299585,16626,2
1299585,16629,4
1299585,20304,3
1299604,5180,5
1299604,5200,2
1299604,5209,1
1299604,17306,3
1299604,19414,4
1299623,5143,4
